Institution_Name,SC_Ranking,SC Score,Curriculum,Public Engagement,Air & Climate,Campus Engagement,Research,Waste,Food & Dining,Water,Transportation,Buildings,Divestment Score,Diversity and Affordability,Energy,Wellbeing & Work,Grounds,Coordination and Planning,Investment & Finance,Purchasing,Innovation Score
George Washington University,48,69.95,12.82,9.12,6.21,6.18,6.33,2.42,1.28,3.05,3.78,1.58,1,3.44,4.05,0.71,1.14,1.77,0.24,0.83,4
"California State University, Sacramento",49,69.67,15.13,7.35,5.1,9.71,5.66,3,0.68,2.96,2.86,2.18,0,3.2,1.97,1.45,1.73,1.78,0,0.92,4
George Mason University,50,69.28,12.28,8.25,5,8.83,5.76,3.65,1.27,4.76,2.34,1.09,0,2.82,3.47,1.08,1.66,1.89,0.02,1.11,4
Rice University,51,68.74,13.12,8.46,6.15,8.55,6.29,1.82,1.13,2.64,3.4,1.6,0,3.94,2.13,1.4,1.7,1.38,0.03,1.02,4
Bates College,52,68.73,12.8,7.13,7.51,9.47,4.82,2.06,1.71,2.64,2.69,1.41,0,0.75,5.88,1.1,2.19,1.48,0.29,0.81,4
"California State University, Northridge",53,68.59,15.05,5.74,5.67,9.58,3.77,2.71,1.21,4.12,2.47,1.48,0,3.85,4.15,1.5,0.57,2.02,0.07,0.63,4
The Ohio State University,54,68.52,12.42,10.37,3.74,9.59,5.46,2.13,0.57,2.64,2.72,2.05,1,3.67,1.73,2.23,1.13,2.01,0.36,0.69,4
Northland College,55,68.31,17.78,7.3,4.27,8.08,5.36,2.09,2.57,3.23,2.94,0.42,0,2.69,5.11,1.3,1.16,0.84,0.66,0.51,2
Grand Valley State University,56,67.97,11.07,7.57,3.73,8.97,5.35,4.35,1.05,3.2,2.78,1.45,1,3.68,3.13,2.15,1.71,1.98,0.22,0.6,4
Clarkson University,57,67.84,16.23,4.85,3.88,6.59,5.49,2.76,0.59,1.78,2.23,1.28,5,3.7,2.09,1.91,2.24,1.61,0.95,0.68,4
University of Wisconsin-Oshkosh,58,67.45,12.85,4.62,7.12,7.04,4.22,2.58,1.23,3.64,2.58,2,1,2.89,6.85,1.17,0.64,1.39,0.77,0.85,4
Virginia Tech,59,67.4,16.73,7.59,2.1,9.71,5.82,2.67,1.15,1.96,2.81,1.95,0,3.43,1.95,1.4,1.08,1.98,0.03,1.05,4
Colorado College,60,67.33,10.03,5.54,5.96,7.3,5.19,2.8,1.72,4.95,3.63,1.53,0,3.84,4.33,1.41,1.72,1.51,0.6,1.25,4
Texas A&M University,61,67.27,14.38,8.55,5.61,8.5,6.37,2.05,1.49,3.44,2.52,1.19,1,3.6,3.18,1.42,0.62,1.59,0,0.74,1
Pennsylvania State University,62,67,9.53,8.23,4.42,7.07,6.03,2.4,1.06,4.69,3.25,1.71,1,3.48,3.65,1.76,1.7,1.64,0.18,1.2,4
University at Albany,63,66.91,10.81,7.49,5.46,9.53,5.47,2.28,1.55,2.15,2.8,2.22,0,3.69,3.03,1.72,2.07,1.67,0,0.96,4
"St. John's University, New York",64,66.89,9.87,8.64,6.76,9.55,3.93,3.54,2.32,2.66,3.52,0.99,1,3.51,1.87,1.58,1.43,2.03,0.75,0.93,2
Belmont University,65,66.85,15.27,7.17,3.78,9.71,6.02,2.39,1.46,2.15,2.03,1.92,0,3.29,4.28,2.03,0.86,2.04,0,0.46,2
University of Wisconsin-River Falls,66,66.79,13.26,7.12,4.59,8.08,4.61,2.62,1.22,4,2.35,1.71,1,3.09,3.79,1.72,1.24,1.54,0.02,0.83,4
Vassar College,67,66.51,9.43,6.96,5.99,8.11,5.68,1.26,1.71,4.95,3.36,1.07,1,3.97,2.74,0.76,2.18,1.51,0.67,1.16,4
University of Cincinnati,68,66.45,15.78,6.69,4.38,7.6,5.59,2.78,0.93,4.11,2.53,1.77,0,3.11,2.56,0.67,1.71,1.71,0,0.53,4
University of Michigan,69,66.35,13.18,10.23,2.44,9.02,6.08,2.47,0.87,2.66,3.14,1.33,0,3.5,1.55,1.89,1.39,2.04,0,0.56,4
Unity College,70,66.34,17.58,7.33,5.26,9.47,5.53,1.86,1.51,0.34,1.63,0,0,1.81,4.83,0.69,1.36,1.46,0.92,0.77,4
University of Alberta,71,66.3,12.57,8.1,3.53,9.23,6.29,2.5,1.5,3.34,3.42,1.85,0,2.62,2.47,1.05,0.57,2.01,0.22,1.01,4
Bard College,72,66.23,12.73,8.3,5.9,8.7,4.33,2.82,1.82,3.46,2.75,0.11,0,2.3,3.02,0.55,1.99,1.64,0.72,1.09,4
Northern Arizona University,73,65.67,12.15,6.35,5.62,7.34,5.17,2.83,1.13,4.05,3.27,1.51,1,2.24,3.69,1.28,1.24,1.69,0.01,1.11,4
Wells College,74,65.67,15.51,5.55,5.89,8.09,4.88,1.97,2.12,1.67,2.75,0.23,1,3.07,3.39,1.19,1.74,1.61,0,0.99,4
Macalester College,75,65.61,10.81,7.24,5.4,9.02,4.94,2.95,1.82,1.42,3.84,1.28,1,3.22,2.76,1,1.19,1.85,0.47,1.4,4
State University of New York at Cortland,76,65.55,9.76,9.56,6.27,8.19,2.86,2,0.91,2.59,3.43,1.57,0,2.73,3.85,1.55,2.27,2.02,0.94,1.03,4
Babson College,77,65.49,15.33,5.55,5.93,7.61,5.63,2.89,1.28,2.98,2.52,0.77,1,3.51,3.51,1.32,1.4,0.76,0,0.98,2.5
Smith College,78,65.39,9.32,5.82,5,8.32,5.9,2.5,2.35,1.83,3.43,1.2,2,3.85,3.22,1.55,2.19,1.64,0.61,0.66,4
University of Wisconsin-Milwaukee,79,65.39,9.5,8.08,3.9,8.24,5.64,2.28,1.12,2.84,2.78,2.14,1,3.27,3.31,1.73,2.08,1.93,0.58,0.97,4
Pomona College,80,65.35,11.2,7.53,5.69,8.57,4.9,2.13,1.15,2.66,3.93,1.98,0,3.83,1.09,1.02,2.18,2.04,0.81,0.65,4
University of Arizona,81,65.33,14.26,7.22,4.72,7.3,5.5,3.17,0.99,3.5,3,1.63,0,3.29,3.29,1.15,0.43,1.26,0,0.61,4
Washington University in St. Louis,82,65.16,10.12,9.16,3.43,8.2,5.74,2.84,1.65,1.08,3.23,1.72,1,3.86,3.85,1.25,1.73,1.33,0,0.98,4
Denison University,83,65.16,12.89,8.11,4.27,8.43,4.07,1.86,2.6,2.72,2.88,1.53,0,3.85,2.4,1.32,2.07,2.11,0.01,1.04,3
Iowa State University,84,65.03,16.75,7.34,1.89,8.08,4.96,3.72,1.75,2.37,3.76,0.6,0,3.5,1.74,1.45,0.51,1.4,0.21,1,4
University of Wisconsin-Stevens Point,85,65.02,16.53,6.46,3.61,7.93,3.75,2.99,0.81,2.37,2.1,2.06,1,3.49,1.25,2.01,2.06,2.02,0,0.57,4
University of South Florida,86,65.01,13.8,8.04,4.08,7.79,5.59,3.26,1.37,1.36,2.61,1.53,0,3.18,6.32,0.72,1.93,0.69,0.22,1.02,1.5
Pitzer College,87,65,13.84,6.61,4.56,7.48,4.73,3.44,1.11,1.46,2.95,1.69,0,2.8,3.86,1.75,2.06,2.01,0.53,0.13,4
University of Virginia,88,64.95,10.34,8.16,5.09,8.39,5.95,2.14,1.85,2.2,3.08,1.79,1,3.73,1.83,1.21,1.65,1.82,0,0.71,4
The University of Georgia,89,64.82,13.37,9.43,4.71,6.52,4.83,2.32,0.92,2.86,2.77,1.83,0,3.25,2.91,0.72,1.71,2.01,0.05,0.6,4
San Jose State University,90,64.74,12.37,8.41,4.62,6.39,4.86,4.6,1.28,4.13,2.74,1.97,0,3.65,0.58,1.49,1.97,1.58,0.29,0.81,3
University of Pennsylvania,91,64.69,11.16,7.7,5,7.77,5.08,2.18,1.58,0.68,4.04,1.8,1,3.86,2.96,1.49,1.19,1.77,0.58,0.85,4
"University of Illinois, Urbana-Champaign",92,64.46,12.92,8.07,3.57,6.75,5.85,2.02,1.67,2.15,2.87,1.9,0,3.44,3.76,1.59,1.29,1.89,0.23,0.51,4
"University of California, Riverside",93,64.34,9.05,10.03,5.17,6.17,5.36,2.77,1.27,3.43,2.75,1.61,0,3.37,1.53,2.03,1.71,1.98,1.04,1.07,4
University of Ontario Institute of Technology,94,64.32,10.02,4.96,4.91,9.84,6.17,2.61,0.92,2.36,2.97,1.71,0,2.2,6.26,2.16,0,2.09,0.45,0.71,4
The University of Texas Rio Grande Valley,95,64.19,14.97,9.63,0.83,8.5,5.59,1.5,1.08,4.13,0.88,0.93,1,3.92,2.63,0.92,1.13,1.85,0.49,0.2,4
Princeton University,96,63.92,9.96,7.47,4.72,6.78,5.82,2.56,1.4,4.76,3.21,1.47,0,3.51,3.25,0.58,1.13,1.32,0.77,1.21,4
"California State University, Channel Islands",97,63.81,13.11,5.94,4.15,7.18,5.59,3.83,1.54,2.49,2.47,1.64,0,3.04,2.71,1.46,2.09,1.8,0,0.78,4
Emerson College,98,63.79,13.26,7.8,5.29,9.4,5.23,2.2,1.13,3.39,4,1.56,0,3.16,2.22,0.95,0,1.82,0,0.89,1.5
Ball State University,99,63.77,15.46,7.5,4.21,6.87,6.15,2.2,0.81,1.39,1.34,2.05,1,2.79,2.35,1.86,0.87,2.06,0.39,0.46,4
Concordia University,100,63.76,11.18,9.32,5.38,8.34,5.73,2.95,1.02,0.7,4.16,1.16,0,2.37,1.52,1.2,1.16,1.8,0.69,1.08,4
Berea College,101,63.69,9.79,5.66,5.27,10.48,4.18,2.05,1.8,1.63,3.28,1.51,0,3.18,3.51,1.26,2.32,1.9,0.59,1.27,4
University of Arkansas,102,63.69,13.92,7.7,4.8,5.89,6.25,3.23,0.86,2.25,2.04,0.56,0,3.09,3.7,1.59,1.71,1.82,0.02,0.29,4
Worcester Polytechnic Institute,103,63.43,12.46,6.62,5.84,9.47,5.66,3.12,1.15,0.34,2.96,1.06,0,2.83,3.71,1.56,0.29,1.59,0,0.76,4
University of Louisville,104,63.22,7.87,8.38,4.75,9.71,5.75,2.46,1.97,2.36,2.36,1.13,1,3.7,1.17,1.89,2.01,2.04,0.21,0.46,4
Hobart and William Smith Colleges,105,63.11,11.33,6.94,6.47,6.57,3.87,3.25,1.62,2.78,2.85,1.61,0,3.12,3.93,1.39,1.77,1.11,0.02,0.45,4
"University of Tennessee, Knoxville",106,63.09,11.92,7.46,7.6,6.35,5.62,1.78,1.15,3.2,2.23,0.77,1,3.41,6.86,0.95,0.11,1.27,0,0.91,0.5
California Polytechnic State University,107,62.92,13.28,7.24,5.82,7.18,3.43,2.8,1.18,3.91,2.97,1.46,0,2.61,2.8,0.96,1.13,1.38,0,0.75,4
Columbia University,108,62.68,12.77,8.67,3.87,9.83,6.45,1.41,2.43,1.39,4.47,0.5,0,3.76,0.53,1.26,0.82,2.02,0.44,1.06,1
Binghamton University,109,62.56,9.93,7.11,6.54,7.72,5.63,2.87,1.68,4.02,2.82,1.82,0,2.41,3.65,1.23,1.14,1.65,0,0.84,1.5
Portland Community College,110,62.45,10.22,4.81,6.13,10.18,0,3.25,1.25,3.5,2.91,2.21,0,2.42,5.72,0.89,1.87,1.8,0.4,0.89,4
Endicott College,111,62.44,13.74,7.21,3.67,8.19,4.76,3,2.05,2.7,2.28,1.65,0,2.74,1.57,1.4,1.18,1.92,0,0.39,4
"University of Minnesota, Twin Cities",112,62.43,12.17,9.52,3.36,5.84,4.82,2.37,0.89,1.38,3.19,1.11,0,3.6,2.31,1.86,2.26,2.04,0.64,1.09,4
Luther College,113,62.14,14.97,7.07,5.67,7.96,5.28,1.64,1.56,3.13,3.05,0.47,0,2.22,3.88,0.81,1.35,1.71,0.01,0.86,0.5
University of Houston,114,62.08,10.54,9.95,3.21,8.19,5.62,2.34,0.95,1.61,2.5,0.67,0,3.53,2.82,1.58,1.71,1.98,0.25,0.63,4
University at Buffalo,115,62.03,11.24,6.35,3.83,8.35,4.5,2.51,1.69,1.55,2.58,1.48,0,3.65,2.88,2.01,1.79,2.03,0.43,1.12,4
Indiana University-Purdue University Indianapolis,116,61.98,12.7,8.04,3.62,8.24,4.96,2.37,0.64,2.36,2.12,1,1,3.86,2.42,1.59,0.14,1.86,0,1.07,4
Ohio University,117,61.43,11,5.41,5.52,9.65,4.5,2.47,1.59,1.37,2.69,0.93,0,3.12,3.12,1.31,1.69,1.77,0.37,0.91,4
Northwestern University,118,61.29,10.49,6.61,3.95,9.63,2.37,2,1.11,2.63,3.53,2.11,0,3.81,2.48,1.76,1.42,2.02,0.67,0.71,4
Miami University,119,61.16,9.69,7.77,4.43,7.43,5.43,2.73,1.75,3.07,2.16,0.96,0,3.53,2.52,2.04,1.15,1.57,0.29,0.64,4
Rochester Institute of Technology,120,60.72,11.89,4.3,6.19,6.07,5.49,2.85,0.95,1.51,3.53,1.98,0,3.11,4.15,1.06,1.76,1.24,0.08,0.59,4
The American College of Greece,121,60.67,11.45,7.13,1.71,8.35,5.33,0.76,2.93,2.28,2.87,1.48,0,2.64,2.62,2.22,2.29,1.46,0,1.14,4
University of Notre Dame,122,60.58,12.47,6.88,4.19,7.62,5.77,2.21,1.18,2.76,2.39,1.29,0,2.79,2.68,1.2,0.3,1.37,0.22,1.25,4
Muhlenberg College,123,59.98,10.15,6.31,3.74,8.31,5.48,1.66,0.88,4.16,2.6,1.28,0,3.76,2.62,1.99,0.87,1.3,0,0.86,4
Virginia Commonwealth University,124,59.93,9.88,8.62,3.5,6.81,4.82,2.37,0.7,4.32,2.48,1.34,1,3.14,2.12,1.23,1.13,1.64,0,0.83,4
University of Ottawa,125,59.51,9.61,4.27,5.91,6.89,5.35,3.05,1.15,3.08,3.95,1.62,0,2.26,3.64,1.32,0.57,1.47,0.56,0.81,4
Yale University,126,59.25,12.78,5.9,4.02,5.91,4.89,2.35,1.76,0.68,3.42,1.51,0,3.61,2.23,1.51,1.7,1.38,0.65,0.94,4
Case Western Reserve University,127,59.23,9.99,6.47,4.37,6.01,3.49,2.08,1.72,4.4,3.04,1.73,0,3.48,3.79,1.01,1.51,1.25,0.02,0.86,4
University of Utah,128,59.16,9.64,6.37,4.41,7.03,2.92,2.49,1.42,4.05,3.03,1.25,0,3.03,4.46,0.96,1.69,1.69,0.43,0.28,4
North Seattle College,129,59.07,11.79,5.56,6.03,7.84,0,3.18,0.93,1.48,3.66,1.73,0,3.08,3.95,1.52,1.83,1.65,0,1.33,3.5
Swarthmore College,130,58.72,10.85,6.73,5.88,6.95,3.29,1.3,1.09,2.32,2.81,0.36,0,3.6,5.18,1.58,0.57,1.35,0.44,0.42,4
University of the Pacific,131,58.49,12.05,5.28,5.04,9.71,4.65,2.17,1.72,1.97,2.77,2.15,1,2.24,1.44,1.95,0.86,1.02,0,0.47,2
Boston University,132,58.21,8.84,7.86,4.45,7.47,3.81,1.97,1.57,2.76,3.56,1.08,3,2.36,2.04,1.1,0.58,0.87,0.52,0.37,4
University of Winnipeg,133,57.74,10.01,7.25,5.8,8.12,3.67,1.24,2.65,1.74,2.78,1.78,0,2.27,1.84,1.24,0.58,2.01,0,0.77,4
Bowdoin College,134,57.46,7.52,7.87,5.79,8.6,3.45,1.7,1.44,2.36,3.14,0.92,0,3.94,2.26,1.07,1.89,1.72,0,0.78,3
Southern Oregon University,135,57.43,9.24,5.85,4.5,7.92,3.72,2.39,1.32,0.69,3.06,1.25,0,2.87,5.4,0.68,2.19,1.34,0,1,4
Missouri State University,136,57.3,10.97,7.48,3.42,8.06,1.9,2.04,1.92,3.08,2.04,0.95,0,3.44,3.07,0.93,1.85,1.84,0.11,0.71,3.5
State University of New York at New Paltz,137,57.14,8.73,5.63,3.97,6.76,4.18,2.35,0.99,0.68,2.57,1.7,5,2.87,2.54,0.79,2.17,1.26,0,0.95,4
Wesleyan University,138,56.96,9.46,5.48,5.37,6.01,4.75,2.83,1.82,3.42,3.03,1.78,0,3.77,4.16,1.52,0.6,1.39,0.51,1.06,0
Aquinas College,139,56.51,12.61,7.52,3.64,9.51,4.41,2.67,0.57,4.78,1.53,0.75,0,2.94,2.68,0.54,0.11,1.69,0.07,0.48,0
"University of Minnesota, Duluth",140,56.06,12.3,6.24,3.25,5.8,4.07,2.82,1.71,2.85,2.9,2.13,0,2.26,1.73,0.74,0.85,1.49,0.64,0.27,4
University of Nebraska at Omaha,141,55.98,14.17,6.7,3.66,5.82,5.73,2,0.57,0.68,1.94,0.57,0,2.91,3.48,0.72,1.17,1.95,0,0.43,3.5
Tufts University,142,55.4,8.75,7.01,4.85,6.98,5.37,2.14,1.06,3.9,3.27,1.03,0,2.5,1.51,1.54,1.73,1.68,0.15,0.94,1
Saint Joseph's College - ME,143,54.9,14.18,5.25,4.94,7.63,3.82,2,2.12,0,1.15,0.46,0,2.83,3.88,1.41,1.14,1.65,0,0.95,1.5
San Diego State University,144,54.77,9.97,5.9,4.14,7.46,4.44,2.54,0.78,4.54,2.01,1.03,0,2.4,2.26,1.5,1.13,1.2,0,0.48,3
"California State University, Monterey Bay",145,54.62,12.81,3.63,4.55,4.92,3.6,2.19,1.42,4.63,2.46,1.9,0,2.95,3.59,1.02,1.13,1.45,0.07,0.82,1.5
Delta College,146,54.54,7.1,6.66,4.31,8.62,0,2.67,1.02,4.49,1.62,1.58,1,3.61,3.17,1.18,0.62,1.72,0.12,1.06,4
University of Texas at Austin,147,54.36,9.65,7.25,3.68,8.52,3.13,2.57,1.06,3.13,3.13,1.5,0,3.48,2.53,1.31,0.76,1.73,0.22,0.7,0
Haverford College,148,54.34,7.27,6.98,5.72,8.95,2.37,1.02,1.7,1.42,3.83,1.22,0,3.22,4.55,1.31,0.59,1.71,0.7,0.77,1
Tulane University,149,54.32,13.24,7.57,3.37,7.3,4.94,1.16,0.89,0.85,2.46,1.22,0,3.41,0.85,0.98,0.57,1.32,0,0.19,4
Western Kentucky University,150,54.08,9.58,3.79,4.82,6.53,3.15,2.18,1.23,3.42,2.05,1.5,0,2.7,4.18,1.25,1.14,1.58,0,0.99,4
Principia College,151,53.86,13.02,5.51,4.81,6.94,0,1.95,0.35,0.67,3.14,0.47,0,2.75,6.4,1.42,1.97,2.08,0,0.37,2
University of Nebraska - Lincoln,152,53.69,13.23,6.85,4.01,6.12,4.27,1.94,0.79,2.29,1.45,0.64,0,3.37,5.19,0.65,0,0.7,0,0.7,1.5
Keene State College,153,53.68,14.5,6.42,3.78,6.68,4.58,1.62,1,0.51,2.51,1.6,0,2.65,1.91,1.22,2.28,1.39,0.22,0.82,0
University of Richmond,154,53.56,8.08,6.09,4.09,7.63,5.18,1.78,0.66,2.11,2.59,1.07,0,3.97,1.35,1.84,0.59,1.87,0,0.66,4
University of South Carolina,155,53.35,12.63,8.22,3.4,8.73,5.66,2.16,0.6,2.35,1.38,1.24,0,2.44,0.68,0.95,0.57,1.48,0.22,0.65,0
Southern Illinois University Carbondale,156,53.34,13.93,7.8,0,7.82,5.91,1.84,0.58,0.08,2.43,0.49,0,3.26,0.58,1.62,1.15,1.03,0.22,0.6,4
Michigan State University,157,53.25,10.11,7.45,2.96,7.38,4.45,2.14,1.04,2.94,2.72,0.99,0,3.31,0.01,1.09,1.8,1.92,0.21,0.73,2
Utah State University,158,53,10.05,5.04,4.42,4.91,3.79,2.32,1.07,3.75,3.09,1.17,0,2.73,3.26,1.22,0.6,1.14,0,0.43,4
Slippery Rock University,159,52.57,9.85,6.36,4.71,7.29,2.24,2.21,1.22,2.15,1.44,1.32,0,3.04,4.07,2.21,1.76,2.04,0,0.65,0
St. Lawrence University,160,52.4,12.73,4.12,4.48,5.71,5.16,1.86,0.95,0.7,1.24,1.29,1,3.48,3.82,0.86,1.76,1.82,0,0.42,1
University of Miami,161,52.23,10.5,5.97,4,7.47,2.78,1.61,1.07,1.37,2.9,1.92,0,3.27,2.55,1.01,1.63,0.89,0.07,0.73,2.5
Carleton College,162,52.23,10.08,4.67,4.82,7.29,2.94,1.64,1.57,2.06,3.04,0.36,0,2.33,3.63,1.41,1.19,0.79,0.69,0.73,3
Lehigh University,163,52.19,8.96,6.05,3.76,6.66,4.92,1.94,1.44,0.72,2.46,1.71,0,3.13,3.01,0.99,0.35,1.39,0,0.7,4
Champlain College,164,52.08,11.06,2.72,6.12,6.68,0,3.29,1.02,2.73,3.64,1.81,0,3.43,2.74,1.08,0.17,2.27,0,0.33,3
University of Denver,165,52.02,13.26,5.92,5.21,4.24,4.71,3.02,0.7,2.74,2.72,1.4,0,2.44,2.68,0.73,0,2.01,0,0.23,0
University of Central Florida,166,51.94,10.85,5.24,4.84,4.81,1.73,2.42,0.92,1.58,2.78,1.64,1,3.02,4.88,0.96,1.61,1.76,0.22,0.68,1
Washington and Lee University,167,51.89,7.3,7.77,5.67,5.23,4.41,1.78,1.01,1.51,2.38,0.53,0,2.46,4.51,1.41,1.15,0.64,0,0.63,3.5
Elon University,168,51.71,6.68,4.84,4.7,7.73,3.42,2.21,1.45,0.94,2.18,1.19,1,3.48,3.66,1.23,0.75,1.46,0.09,0.7,4
Western Technical College,169,51.68,9.71,6.89,6.61,5.06,0,2.65,0.91,3.79,1.58,2.12,0,2.7,5.27,1.89,0,2.25,0,0.23,0
"University of North Carolina, Wilmington",170,51.43,15.85,6.16,5.17,6.9,1.43,1.5,0.96,1.39,1.5,1.33,0,2.36,2.69,0.52,1.43,2,0,0.23,0
Wellesley College,171,51.38,8.95,5.27,3.44,7.34,4.68,0.81,1,4.16,3.2,0.49,0,2.88,2.8,1.32,2.03,2.05,0.51,0.47,0
State University of New York at Geneseo,172,51.24,7.67,8.86,2.77,7.37,4.14,2.07,1.46,2.15,2.61,1.26,0,1.96,1.99,1.47,1.38,2.06,0.14,0.88,1
Mills College,173,51.06,9.98,3.04,4.89,9.22,5.09,2.62,1.18,3.4,3.1,0,0,1.77,3.06,1.08,0,1.11,0,0.53,1
Ithaca College,174,51.04,7.03,5.93,4.98,7.9,2.35,3.05,1.13,1.36,2.52,1.96,0,3.31,3.9,1.84,1.21,1.2,0,0.87,0.5
York University,175,50.95,7.97,4.59,0.42,8.41,4.77,2.55,1.31,1.38,3.69,1.26,0,2.24,2.21,0.73,1.91,2.04,0.87,0.61,4
Earlham College,176,50.87,9.27,4.13,2.68,8.61,3.89,2.77,0.61,2.9,3.37,1.16,0,3.58,2.32,2.4,0,2.15,0.71,0.33,0
