Institution_Name,SC_Ranking,SC Score,Curriculum,Public Engagement,Air & Climate,Campus Engagement,Research,Waste,Food & Dining,Water,Transportation,Buildings,Divestment Score,Diversity and Affordability,Energy,Wellbeing & Work,Grounds,Coordination and Planning,Investment & Finance,Purchasing,Innovation Score
Coastal Carolina University,213,47.42,7.33,4.57,1.05,8.78,2.93,2.3,0.92,1.93,1.61,1.45,0,2.36,4.82,1.95,2.21,1.5,0,0.71,1
Williams College,214,47.41,8.65,4.49,3.68,5.18,2.84,1.75,0.99,2.4,3.11,0.98,0,3.74,2.61,1.18,2.1,1.02,0.61,0.06,2
Black Hills State University,215,47.29,9.14,5.55,3.27,5.31,4.22,2.12,0.85,3.76,1.7,0.39,0,0.96,3.13,0.6,0,1.33,0,0.97,4
College of William & Mary,216,46.87,7.72,4.59,1.65,5.39,4.63,1.94,1.22,3.8,2.51,0.29,0,3.65,2.21,1.22,1.13,0.63,0.03,0.75,3.5
Hope College,217,46.76,7.78,7.22,3.54,6.77,5.79,1.89,0.7,0.71,2.84,0.65,0,2.4,1.62,1.17,2.05,1.3,0,0.36,0
Selkirk College,218,46.69,7.01,6.66,8.18,4.67,4.79,2.15,0,0,0.85,0.69,0,1.91,2.63,1.66,0.6,1.72,0,0.17,3
Stevens Institute of Technology,219,46.54,7.61,4.47,4.68,4.12,5.14,1.62,1.11,3.54,2.08,0,0,2.1,2.21,1.56,0.52,1.36,0,0.41,4
The Ohio State University at Mansfield,220,46.54,7.76,7.47,3.61,3.91,3.63,0.54,0.14,1.46,0.64,1.34,0,3.33,5.19,1.29,1.02,1.09,0.29,0.81,3
University of Wisconsin-Platteville,221,46.44,9.91,5.46,2.45,5.79,2.94,2.28,0.93,1.82,2.7,0.72,0,2.38,4.33,0.91,1.14,1.01,0,0.67,1
"California State University, Long Beach",222,45.65,7.11,4.99,4.88,3.87,2.41,2.51,1.32,2.01,2.89,1.32,0,3.03,2.43,0.66,0,1.7,0.07,0.45,4
Knox College,223,45.13,8.59,3.77,0,8.34,2.98,2.33,1.12,2.54,3,1.05,0,3.09,4.06,1.04,1.08,0.86,0.46,0.3,0.5
Maryville College,224,45.04,11.28,6.73,0.43,7.73,4.36,1.76,0.67,0,0.69,1.41,0,3.25,1.73,1.73,0,2.09,0,0.18,1
Central New Mexico Community College,225,44.92,10.04,6.87,4.2,5.24,0,3.01,0.1,3.08,1.13,1.95,0,1.92,1.57,1.96,0.64,1.79,0,0.4,1
LIU Post,226,44.82,7.9,4.06,3.83,9.15,1.9,2.08,0.66,3.55,0.94,0.46,0,2.02,1.81,0.69,0.77,1.77,0,0.23,3
University of West Georgia,227,44.8,10.33,4.77,3.91,5.71,3.44,1.55,0.43,1.31,1.57,1.22,0,2.57,2.48,1.27,1.15,1.66,0.22,0.71,0.5
"California State University, Fullerton",228,44.43,6.86,6.11,3.62,3.57,3.97,1.7,1.8,1.35,2.18,1.76,0,3.03,0.16,0.72,1.61,1.25,0,0.75,4
Frostburg State University,229,44.23,11.88,3.12,3.81,4.5,4.68,2.67,0.58,1.38,1.54,1.16,0,3.43,0.89,0.36,1.38,1.96,0.07,0.82,0
The Ohio State University at Lima,230,44.23,6.59,8.29,2,7.09,4.2,1.03,0.14,0.77,0.64,1.34,0,2.97,2.26,1.6,0,1.09,0.29,0.92,3
Pittsburg State University,231,44.17,9.15,5.23,3.36,6.27,3.82,2.65,0.57,1.55,1.88,1.14,0,1.82,2.47,0.68,0.71,1.52,0,0.36,1
"California State Polytechnic University, Pomona",232,43.67,9.41,6.55,1.44,7.77,4.2,1.83,0.78,1.34,1.99,1.21,0,1.56,1.42,0.36,1.15,1,0,0.18,1.5
